ID	aspect	strdist	basarea	curvature	curve_cont	curve_prof	drop	rockdist	flowdir	lith	elev	cohesion	landslide	scarpdist	scarps	frictang	slope	slopeleg	woods	specwt
30	321,6255	565,6854	65600	0,1201477	1,372084	1,492232	71,66666	0	32	5	1079,182	10	0	0	0	23	39,47408	1871,126	1	19
31	340,0158	568,8585	65600	1,157532	0,9335693	2,091101	82,5	0	64	1	1088,571	50	0	0	0	45	40,37504	1861,325	1	25
32	351,7194	572,7128	65600	-2,376892	2,551464	0,1745723	67,5	0	64	1	1089,969	50	0	20	0	45	39,33354	1852,347	1	25
33	353,3941	577,2348	65600	-3,491333	2,961338	-0,5299947	55	0	64	1	1090,591	50	0	20	0	45	35,41561	1844,21	1	25
34	350,2365	582,4088	65600	-1,177124	1,18129	0,00416584	45	0	32	1	1092,661	50	0	20	0	45	27,09351	1836,929	1	25
35	339,475	588,2177	65600	-1,147003	0,000143618	-1,14686	30	0	32	1	1093,344	50	0	0	1	45	16,25259	1830,522	1	25
36	337,6108	594,6428	65600	0,1211548	-0,6246051	-0,5034503	30	0	32	1	1096,474	50	0	20	0	45	3,771885	1824,831	1	25
37	MISSING	601,6644	MISSING	MISSING	MISSING	MISSING	MISSING	0	MISSING	5	MISSING	10	0	28,28427	0	23	MISSING	MISSING	1	19
38	323,9799	540	65600	-0,4408264	0,4499515	0,009125099	35	0	64	5	1045,172	10	0	63,24555	0	23	18,27381	1881,309	1	19
39	310,708	540,3702	65600	-0,5003357	0,1618018	-0,3385339	48,33333	0	32	5	1051,715	10	0	44,72136	0	23	27,67549	1868,111	1	19
40	301,9132	541,4794	65600	-1,00354	1,111414	0,1078741	58,33333	0	32	5	1060,826	10	0	28,28427	0	23	34,07457	1855,671	1	19
41	301,7836	543,3231	65600	-1,733643	2,304986	0,571344	71,66666	0	32	5	1074,872	10	0	20	0	23	43,45607	1844,009	1	19
42	314,8484	545,8937	65600	1,517639	0,5958055	2,113445	100	0	32	1	1095,064	50	0	0	0	45	47,54074	1833,145	1	25
43	337,8573	549,1812	65600	1,891815	0,1738067	2,065622	103,3333	0	32	1	1108,521	50	0	0	0	45	47,05419	1823,098	1	25
44	354,66	553,1727	65600	2,902618	-1,43892	1,463698	120	0	64	1	1114,24	50	0	0	0	45	47,34539	1813,887	1	25
45	3,960995	557,853	65600	3,229797	-1,268773	1,961024	117,5	0	64	1	1114,197	50	0	0	0	45	45,52633	1805,532	1	25
46	14,55672	563,2051	65600	-1,756897	2,192671	0,4357738	70	0	64	1	1106,99	50	0	0	0	45	38,7738	1798,051	1	25
47	19,2601	569,21	65600	-1,606018	1,981632	0,3756142	37,5	0	64	1	1101,287	50	0	20	0	45	25,13372	1791,46	1	25
48	359,0684	575,8472	65600	-1,808777	-0,05186585	-1,860643	20	0	32	1	1099,12	50	0	28,28427	0	45	11,53472	1785,601	1	25
49	MISSING	583,0952	65600	0,6686401	-0,8430764	-0,1744363	21,66667	0	32	5	1103,017	10	0	44,72136	0	23	MISSING	MISSING	1	19
50	313,2099	520,3845	65600	0,03952026	0,9263663	0,9658866	20	0	64	5	1045,967	10	0	80	0	23	13,82184	1858,827	1	19
51	313,7371	520	65600	-0,01669312	0,2756576	0,2589644	35	0	32	5	1051,556	10	0	60	0	23	22,3224	1844,583	1	19
52	307,629	520,3845	65600	0,4274597	-0,2344296	0,1930301	46,66667	0	32	5	1058,56	10	0	40	0	23	25,41759	1831,085	1	19
53	295,7398	521,5362	65600	-2,148102	2,343315	0,195213	50	0	32	5	1066,289	10	0	20	0	23	34,51146	1818,354	1	19
54	293,0452	523,4501	65600	-1,453705	2,708586	1,254882	87,5	0	16	5	1084,184	10	0	0	0	23	48,76023	1806,41	1	19
55	303,0641	526,1179	65600	4,163605	-1,606529	2,557076	135	0	16	1	1111,611	50	0	0	0	45	50,57124	1795,276	1	25
56	327,5768	529,5281	65600	6,348022	-3,314822	3,0332	118,3333	0	32	1	1128,642	50	0	0	0	45	42,12904	1784,971	1	25
57	353,3408	533,6666	65600	4,335938	-3,244251	1,091687	90	0	64	1	1132,664	50	0	20	0	45	36,82687	1775,517	1	25
58	11,18845	538,5165	65600	4,656891	-3,427989	1,228902	87,5	0	64	1	1132,047	50	0	0	0	45	36,34442	1766,934	1	25
59	28,48633	544,0588	65600	5,653076	-3,238039	2,415037	97,5	0	64	1	1126,842	50	0	0	0	45	38,79333	1759,24	1	25
60	37,063	550,2726	65600	-2,5784	1,96271	-0,6156902	52,5	0	64	1	1112,117	50	0	0	0	45	35,91195	1752,456	1	25
61	23,29769	557,1356	65600	-4,619537	3,088986	-1,530552	17,5	0	64	1	1102,936	50	0	20	0	45	20,76328	1746,418	1	25
62	337,5041	564,6238	65600	-2,296692	0,7382104	-1,558482	16,66667	0	32	5	1104,24	10	0	40	0	23	10,54933	1740,967	1	19
63	MISSING	572,7128	65600	0,5923462	-1,244352	-0,6520061	27,5	0	16	5	1109,943	10	0	56,56854	0	23	MISSING	MISSING	1	19
64	284,6684	501,5974	91600	-0,2838745	0,5869165	0,303042	22,5	0	16	5	1043,23	10	0	82,46211	0	23	12,73263	1837,885	1	19
65	298,327	500,3998	91600	-0,7442627	0,6939766	-0,05028612	27,5	0	16	5	1048,976	10	0	80	0	23	19,31927	1822,591	1	19
66	303,0663	500	91600	0,6735229	-0,2599925	0,4135305	37,5	0	16	5	1056,591	10	0	60	0	23	21,71212	1808,027	1	19
67	302,73	500,3998	65600	-0,07324219	0,1947377	0,1214956	40	0	32	5	1062,969	10	0	40	0	23	23,12261	1794,217	1	19
68	290,4344	501,5974	65600	-3,663818	2,817786	-0,8460323	40	0	32	5	1070,179	10	0	20	0	23	35,15774	1781,183	1	19
69	284,3491	503,5871	65600	-2,601715	3,1561	0,5543851	97,5	0	16	5	1089,777	10	0	0	0	23	51,6428	1768,946	1	19
70	289,5067	506,3596	65600	5,47345	-3,715577	1,757873	160	0	16	1	1121,902	50	0	20	0	45	50,88199	1757,529	1	25
71	312,8836	509,9019	65600	2,609161	-1,140033	1,469129	86,66666	0	32	1	1136,38	50	0	0	0	45	33,38026	1746,955	1	25
72	355,5558	514,1984	65600	-0,3105469	1,452752	1,142205	33,33333	0	32	1	1138,381	50	0	20	0	45	22,40497	1737,245	1	25
73	24,19906	519,2302	65600	-1,620422	1,595167	-0,02525536	31,66667	0	128	1	1135,859	50	0	0	0	45	21,50507	1728,421	1	25
74	39,03558	524,9762	65600	1,280487	-0,9782842	0,3022029	75	0	128	1	1133,603	50	0	0	0	45	27,727	1720,504	1	25
75	41,86887	531,4132	65600	4,225983	-2,949409	1,276574	86,66666	0	128	1	1127,716	50	0	0	0	45	35,99367	1713,514	1	25
76	31,77167	538,5165	65600	-2,420502	1,30093	-1,119572	57,5	0	64	1	1114,746	50	0	20	0	45	32,35627	1707,289	1	25
77	358,557	546,26	65600	-2,52887	0,8486072	-1,680262	30	0	64	1	1110,251	50	0	28,28427	0	45	21,22343	1701,664	1	25
78	330,8818	554,617	65600	-0,01672363	0,5845878	0,5678642	31,66667	0	32	5	1113,276	10	0	44,72136	0	23	16,34141	1696,657	1	19
79	MISSING	563,5601	MISSING	MISSING	MISSING	MISSING	MISSING	0	MISSING	5	MISSING	10	0	63,24555	0	23	MISSING	MISSING	1	19
80	295,8354	481,6638	91600	-1,510376	0,9469087	-0,5634673	27,5	0	16	5	1045,138	10	0	63,24555	0	23	20,14917	1802,18	1	19
81	300,4235	480,4165	91600	-0,2116699	-0,01669157	-0,2283615	37,5	0	16	5	1053,092	10	0	72,11102	0	23	22,32699	1786,548	1	19
82	301,6703	480	91600	-0,09356689	-0,09795636	-0,1915233	38,33333	0	32	5	1060,171	10	0	60	0	23	21,90572	1771,654	1	19
83	300,7732	480,4165	91600	-0,9358521	0,7379114	-0,1979407	35	0	32	5	1066,84	10	0	40	0	23	23,78313	1757,52	1	19
84	289,2225	481,6638	91600	-1,422943	1,477554	0,05461092	45	0	16	5	1076,336	10	0	20	0	23	34,96674	1744,17	1	19
85	279,877	483,7355	91600	-4,521149	4,372173	-0,1489756	82,5	0	16	5	1093,251	10	0	0	0	23	52,513	1731,627	1	19
86	282,8294	486,621	91600	4,320282	-3,746693	0,5735894	172,5	0	16	1	1127,945	50	0	20	0	45	52,2537	1719,915	1	25
87	306,4052	490,306	91600	4,712128	-2,554983	2,157144	90	0	16	1	1146,157	50	0	0	0	45	32,26206	1709,058	1	25
88	358,9596	494,7727	65600	3,791534	-1,874741	1,916793	55	0	64	1	1149,863	50	0	20	0	45	22,4342	1699,079	1	25
89	26,99877	500	65600	1,595703	-0,7624216	0,8332815	50	0	64	1	1145,888	50	0	0	0	45	24,09506	1690,002	1	25
90	38,2975	505,9644	65600	-1,427124	0,9730574	-0,4540666	38,33333	0	128	1	1138,871	50	0	0	0	45	24,467	1681,85	1	25
91	42,47742	512,6402	65600	-0,350647	-0,1444936	-0,4951405	65	0	128	1	1133,494	50	0	0	0	45	28,22338	1674,643	1	25
92	38,46506	520	65600	2,160126	-1,383419	0,7767066	65	0	64	1	1127,764	50	0	0	0	45	31,2948	1668,218	1	25
93	20,26023	528,0151	65600	-2,350677	0,9341597	-1,416518	42,5	0	64	1	1118,857	50	0	20	0	45	24,00671	1662,409	1	25
94	327,3622	536,6563	65600	-0,5475769	-0,3076214	-0,8551984	33,33333	0	32	5	1119,702	10	0	40	0	23	19,7322	1657,235	1	19
95	303,494	545,8937	65600	0,4993286	-0,5359779	-0,03664929	45	0	32	5	1126,355	10	0	56,56854	0	23	12,50844	1652,713	1	19
96	MISSING	555,6978	MISSING	MISSING	MISSING	MISSING	MISSING	0	MISSING	5	MISSING	10	0	72,11102	0	23	MISSING	MISSING	1	19
97	299,5042	463,8965	91600	-1,66095	1,194885	-0,4660648	20	0	16	5	1042,129	10	0	40	0	23	16,58584	1783,393	1	19
98	300,2498	461,7359	91600	0,9401245	-0,3253075	0,614817	42,5	0	16	5	1051,1	10	0	44,72136	0	23	24,18966	1766,695	1	19
99	303,4739	460,4346	91600	1,262817	-0,6747853	0,5880321	48,33333	0	32	5	1058,93	10	0	56,56854	0	23	22,68382	1750,715	1	19
100	302,1821	460	91600	-0,1990662	0,1122208	-0,08684532	40	0	32	5	1064,534	10	0	56,56854	0	23	20,98366	1735,477	1	19
101	295,7266	460,4346	91600	0,129303	0,2742496	0,4035526	40	0	32	5	1071,626	10	0	40	0	23	23,84841	1721,007	1	19
102	286,6666	461,7359	91600	-1,264771	1,639762	0,3749916	48,33333	0	32	5	1080,766	10	0	20	0	23	34,05382	1707,328	1	19
103	279,0805	463,8965	91600	-4,93158	4,911096	-0,02048364	80	0	16	5	1097,031	10	0	0	0	23	52,89884	1694,465	1	19
104	279,9521	466,9047	91600	4,848358	-4,368165	0,4801935	180	0	16	1	1133,189	50	0	20	0	45	53,38272	1682,444	1	25
105	292,8353	470,7441	91600	5,32251	-3,995765	1,326745	90	0	16	1	1151,593	50	0	0	0	45	29,13167	1671,291	1	25
106	352,9076	475,3946	65600	1,891113	-0,918735	0,9723783	26,66667	0	128	1	1153,859	50	0	0	0	45	11,4644	1661,03	1	25
107	31,77702	480,8326	65600	2,01239	-1,717925	0,294465	48,33333	0	128	1	1152,578	50	0	0	0	45	17,57816	1651,686	1	25
108	37,04494	487,0318	65600	1,683899	-1,344112	0,3397866	51,66667	0	128	1	1148,207	50	0	0	0	45	24,18028	1643,284	1	25
109	35,86839	493,9636	65600	-0,6378479	0,1443762	-0,4934717	46,66667	0	128	1	1141,026	50	0	0	0	45	26,41516	1635,847	1	25
110	39,8738	501,5974	65600	0,04428101	0,005303496	0,0495845	56,66667	0	128	1	1135,319	50	0	0	0	45	28,72463	1629,21	1	25
111	37,33666	509,9019	65600	-1,243561	0,9745213	-0,2690395	40	0	64	1	1127,113	50	0	20	0	45	25,20737	1623,205	1	25
112	337,897	518,8448	65600	-4,361298	0,9640867	-3,397211	12,5	0	64	1	1122,509	50	0	28,28427	0	45	16,72243	1617,853	1	25
113	314,2576	528,3938	65600	0,4231873	-0,2530445	0,1701428	42,5	0	16	5	1131,011	10	0	44,72136	0	23	19,0735	1613,173	1	19
114	MISSING	538,5165	65600	1,91449	-2,021322	-0,106832	43,33333	0	32	5	1138,959	10	0	56,56854	0	23	MISSING	MISSING	1	19
115	315,4641	444,0721	91600	-3,049927	1,793662	-1,256265	31,66667	0	32	5	1047,14	10	0	20	0	23	23,97188	1748,509	1	19
116	305,996	441,8145	91600	-1,930389	0,2222266	-1,708163	43,33333	0	32	5	1054,442	10	0	28,28427	0	23	23,89782	1731,446	1	19
117	301,9295	440,4543	91600	-0,2277832	-0,3951963	-0,6229795	36,66667	0	32	5	1061,942	10	0	40	0	23	20,88346	1715,105	1	19
118	300,5562	440	91600	-0,1656494	-0,1709747	-0,3366241	31,66667	0	32	5	1068,205	10	0	40	0	23	18,99255	1699,512	1	19
119	287,3952	440,4543	91600	-1,085419	0,459061	-0,6263577	31,66667	0	32	5	1073,848	10	0	28,28427	0	23	20,04575	1684,691	1	19
120	275,1135	441,8145	91600	-0,6141663	2,065832	1,451666	45	0	16	5	1083,13	10	0	20	0	23	33,06509	1670,67	1	19
121	273,7642	444,0721	91600	-3,445038	4,669583	1,224546	87,5	0	16	5	1100,643	10	0	0	0	23	53,53644	1657,474	1	19
122	274,3611	447,2136	91600	6,341034	-5,255152	1,085882	180	0	16	1	1136,792	50	0	20	0	45	52,85248	1645,13	1	25
123	278,9053	451,2206	91600	2,923584	-3,187276	-0,2636924	75	0	16	1	1151,878	50	0	20	0	45	25,99461	1633,665	1	25
124	327,0489	456,0702	91600	-1,131073	1,475572	0,344499	7,5	0	16	1	1153,839	50	0	0	0	45	6,48887	1623,107	1	25
125	18,48734	461,7359	65600	-0,7055969	0,9711944	0,2655976	20	0	128	1	1154,306	50	0	0	0	45	10,3465	1613,482	1	25
126	30,11048	468,188	65600	0,5642395	-0,3003713	0,2638682	43,33333	0	128	1	1153,619	50	0	20	0	45	18,73411	1604,816	1	25
127	31,03368	475,3946	65600	0,1296997	-0,3868803	-0,2571806	50	0	128	1	1149,637	50	0	0	0	45	25,02294	1597,135	1	25
128	34,54678	483,3218	65600	1,19397	-0,7312229	0,4627468	63,33333	0	128	1	1145,196	50	0	0	0	45	29,40061	1590,273	1	25
129	37,23002	491,935	65600	-1,040833	0,6494444	-0,3913881	50	0	128	1	1136,742	50	0	0	0	45	30,57194	1584,059	1	25
130	6,674237	501,1986	65600	-3,870331	1,195827	-2,674504	35	0	64	1	1129,656	50	0	20	0	45	18,96672	1578,516	1	25
131	302,5694	511,0773	65600	0,9102478	-1,026636	-0,1163882	41,66667	0	32	1	1134,529	50	0	28,28427	0	45	15,33144	1573,667	1	25
132	260,8492	521,5362	65600	2,3302	-0,9839996	1,346201	28,33333	0	32	5	1139,248	10	0	44,72136	0	23	9,791389	MISSING	1	19
133	344,927	424,2641	91600	-2,365906	2,683625	0,3177193	70	0	64	5	1061,6	10	0	0	0	23	42,69509	1713,888	1	19
134	345,59	421,9005	91600	-2,059631	1,960046	-0,09958523	63,33333	0	32	5	1065,307	10	0	20	0	23	35,6917	1696,449	1	19
135	335,9675	420,4759	91600	-3,200165	1,102748	-2,097417	43,33333	0	32	5	1067,104	10	0	20	0	23	26,36848	1679,735	1	19
136	321,6172	420	91600	0,05291748	-0,4573557	-0,4044382	38,33333	0	32	5	1073,156	10	0	20	0	23	20,59686	1663,773	1	19
137	308,4581	420,4759	91600	-0,787384	0,1886934	-0,5986906	30	0	32	5	1076,774	10	0	20	0	23	17,48063	1648,59	1	19
138	277,7888	421,9005	91600	-7,144562	3,825118	-3,319444	20	0	32	5	1079,721	10	0	0	0	23	30,46539	1634,212	1	19
139	269,1143	424,2641	91600	-4,462219	4,282329	-0,1798906	97,5	0	16	5	1099,398	10	0	0	0	23	53,39746	1620,667	1	19
140	269,8768	427,5512	91600	5,290527	-4,85797	0,4325576	182,5	0	16	1	1136,096	50	0	20	0	45	53,46441	1607,985	1	25
141	285,3136	431,7407	91600	1,681061	-1,586239	0,0948221	85	0	16	1	1153,592	50	0	20	0	45	31,32276	1596,194	1	25
142	335,7693	436,8066	91600	-0,1436157	1,825846	1,68223	30	0	16	1	1159,838	50	0	0	0	45	20,15899	1585,323	1	25
143	0,2342628	442,7189	65600	-2,362244	2,39054	0,02829611	27,5	0	64	1	1160,011	50	0	0	0	45	21,90615	1575,401	1	25
144	12,32096	449,4441	65600	-0,8895569	1,373267	0,4837097	36,66667	0	128	1	1160,068	50	0	20	0	45	23,12208	1566,456	1	25
145	22,61312	456,9464	65600	-0,1155396	0,4997194	0,3841799	45	0	128	1	1158,187	50	0	20	0	45	25,73252	1558,516	1	25
146	26,37495	465,1881	65600	0,08267212	-0,06750065	0,01517147	61,66667	0	128	1	1154,31	50	0	0	0	45	29,41656	1551,413	1	25
147	29,00523	474,1308	65600	1,197662	-0,8903162	0,3073461	68,33334	0	128	1	1149,165	50	0	0	0	45	34,24307	1544,976	1	25
148	22,6004	483,7355	65600	-2,277069	1,729313	-0,5477566	52,5	0	64	1	1140,327	50	0	0	0	45	31,19219	1539,23	1	25
149	5,26941	493,9636	65600	-5,609222	4,723933	-0,8852894	16,66667	0	32	1	1134,558	50	0	20	0	45	16,8273	1534,198	1	25
150	11,53059	504,7772	65600	-4,074738	0,8791563	-3,195581	2,5	0	16	5	1134,937	10	0	28,28427	0	23	4,022432	1529,902	1	19
151	MISSING	516,1395	65600	1,668823	-0,9683148	0,7005084	22,5	0	16	5	1139,823	10	0	44,72136	0	23	MISSING	MISSING	1	19
152	349,9279	420	32800	-8,888916	6,600445	-2,288471	2,5	20	64	MISSING	1069,158	MISSING	MISSING	0		MISSING	37,19953	1722,905	1	MISSING
153	343,6259	417,6123	91600	-5	5,719381	0,719381	91,66666	0	128	1	1076,3	50	0	0	0	45	34,05141	1723,411	1	25
154	359,7247	412,3106	91600	3,202209	-2,326857	0,8753524	152,5	0	64	1	1081,273	50	0	20	0	45	35,68365	1717,283	1	25
155	359,7036	407,9216	91600	4,618042	-4,321796	0,2962455	160	0	64	1	1086,041	50	0	20	0	45	44,85471	1698,078	1	25
156	354,9283	404,475	91600	5,250427	-3,664476	1,585951	137,5	0	64	1	1089,376	50	0	0	0	45	47,38619	1679,55	1	25
157	5,589045	401,995	91600	2,80011	-1,581743	1,218367	105	0	64	1	1086,32	50	0	0	0	45	41,16109	1661,723	1	25
158	3,48596	400,4997	91600	-0,4310303	-0,1808577	-0,6118879	67,5	0	64	1	1080,813	50	0	0	0	45	31,43548	1644,624	1	25
159	344,0619	400	91600	-1,172882	0,0655864	-1,107296	46,66667	0	32	5	1080,331	10	0	0	0	23	23,302	1628,28	1	19
160	330,188	400,4997	91600	-0,5638733	0,3943093	-0,1695639	35	0	32	5	1083,52	10	0	0	0	23	22,19935	1612,719	1	19
161	303,6426	401,995	91600	-1,909454	0,5196572	-1,389797	40	0	64	5	1088,159	10	0	0	0	23	29,3038	1597,97	1	19
162	277,307	404,475	91600	-8,328827	5,37573	-2,953097	66,66666	0	32	5	1098,983	10	0	20	0	23	50,53577	1584,063	1	19
163	273,7438	407,9216	91600	0,3951721	-2,002416	-1,607243	170	0	16	5	1133,438	10	0	28,28427	0	23	55,45322	1571,026	1	19
164	289,2967	412,3106	91600	3,110016	-2,131428	0,9785877	130	0	16	1	1159,832	50	0	20	0	45	42,1931	1558,893	1	25
165	330,6081	417,6123	91600	2,841187	-0,1597332	2,681453	66,66666	0	32	1	1172,484	50	0	0	0	45	32,6167	1547,692	1	25
166	358,4628	423,7924	65600	2,042389	-0,5343736	1,508015	75	0	64	1	1175,28	50	0	0	0	45	33,96333	1537,456	1	25
167	9,741977	430,8132	65600	-0,9940186	0,9465611	-0,04745744	57,5	0	64	1	1172,013	50	0	20	0	45	33,6648	1528,215	1	25
168	18,49814	438,6342	65600	-0,14151	0,7559575	0,6144475	55	0	64	1	1169,196	50	0	20	0	45	32,05087	1520	1	25
169	23,56765	447,2136	65600	-0,5782776	0,5566394	-0,02163817	53,33333	0	128	1	1164,361	50	0	20	0	45	30,34601	1512,64	1	25
170	25,97511	456,5085	65600	0,7459106	-0,7636003	-0,01768966	70	0	128	1	1160,491	50	0	20	0	45	30,67086	1505,964	1	25
171	25,25804	466,4762	65600	3,459778	-2,736644	0,7231337	82,5	0	64	1	1157,036	50	0	0	0	45	33,24455	1500	1	25
172	23,07207	477,0744	65600	2,365112	-1,381727	0,9833854	80	0	64	1	1150,878	50	0	0	0	45	32,36259	1494,773	1	25
173	24,09486	488,2622	65600	-2,355652	2,420761	0,06510931	35	0	64	1	1142,416	50	0	20	0	45	23,51144	1490,306	1	25
174	24,26022	500	65600	-3,39563	3,004586	-0,3910437	10	0	32	1	1138,034	50	0	40	0	45	9,610962	1486,821	1	25
175	224,9235	512,2499	65600	0,4199219	0,002508115	0,42243	2,5	0	16	5	1138,983	10	0	60	0	23	0,416844	1484,535	1	19
176	MISSING	524,9762	MISSING	MISSING	MISSING	MISSING	MISSING	0	MISSING	5	MISSING	10	0	80	0	23	MISSING	MISSING	0	19
177	1,134976	400	32800	3,002136	-2,823905	0,1782307	130	0	64	1	1095,622	50	0	20	0	45	42,61351	1682,974	1	25
178	351,2475	398,4972	91600	2,45929	-2,156732	0,302558	110	0	64	1	1098,469	50	0	20	0	45	46,15425	1683,506	1	25
179	352,984	392,9377	91600	1,365509	-1,522003	-0,1564938	90	0	64	1	1099,615	50	0	28,28427	0	45	42,11807	1684,046	1	25
180	351,6148	388,3297	91600	1,010345	-1,149849	-0,1395037	72,5	0	64	1	1101,002	50	0	28,28427	0	45	37,87977	1664,442	1	25
181	3,07115	384,7077	91600	2,272949	-0,8465149	1,426434	65	0	64	1	1102,54	50	0	20	0	45	33,40987	1645,513	1	25
182	20,77583	382,0995	91600	1,670959	-0,9391008	0,7318587	61,66667	0	128	1	1098,585	50	0	20	0	45	32,6074	1627,287	1	25
183	18,78532	380,5259	91600	-2,194122	1,096909	-1,097213	50	0	64	1	1091,219	50	0	20	0	45	30,70452	1609,79	1	25
184	359,3392	380	91600	-2,229828	0,9284179	-1,30141	40	0	64	1	1088,527	50	0	20	0	45	26,17676	1593,051	1	25
185	335,367	380,5259	91600	-1,552612	0,4200364	-1,132576	36,66667	0	32	5	1091,071	10	0	20	0	23	25,62853	1577,099	1	19
186	315,5854	382,0995	91600	-0,01681519	0,4274461	0,4106309	50	0	32	5	1098,052	10	0	20	0	23	31,99037	1561,964	1	19
187	292,4532	384,7077	91600	-5,862732	3,968708	-1,894024	70	0	32	5	1108,25	10	0	28,28427	0	23	49,38126	1547,677	1	19
188	285,3765	388,3297	91600	-3,354462	0,3736698	-2,980792	145	0	16	5	1137,263	10	0	40	0	23	56,88287	1534,27	1	19
189	291,9101	392,9377	91600	2,683624	-2,984409	-0,3007844	150	0	16	1	1167,373	50	0	20	0	45	48,41829	1521,776	1	25
190	317,3624	398,4972	91600	3,943115	-2,107726	1,835389	83,33334	0	32	1	1183,622	50	0	0	0	45	33,47229	1510,229	1	25
191	353,5797	404,9691	65600	3,452362	-1,884863	1,567499	65	0	64	1	1188,443	50	0	0	0	45	28,87628	1499,661	1	25
192	11,71277	412,3106	65600	3,213654	-2,356948	0,8567055	75	0	64	1	1187,483	50	0	0	0	45	31,38697	1490,106	1	25
